1	01/06/2017	01:00:00	22,232
2	01/06/2017	02:00:00	22,239
3	01/06/2017	03:00:00	22,631
4	01/06/2017	04:00:00	22,743
5	01/06/2017	05:00:00	22,841
6	01/06/2017	06:00:00	23,527
7	01/06/2017	07:00:00	26,089
8	01/06/2017	08:00:00	26,061
9	01/06/2017	09:00:00	19,418
10	01/06/2017	10:00:00	14,028
11	01/06/2017	11:00:00	18,725
12	01/06/2017	12:00:00	29,883
13	01/06/2017	13:00:00	29,575
14	01/06/2017	14:00:00	26,299
15	01/06/2017	15:00:00	26,257
16	01/06/2017	16:00:00	27,293
17	01/06/2017	17:00:00	26,915
18	01/06/2017	18:00:00	25,004
19	01/06/2017	19:00:00	24,857
20	01/06/2017	20:00:00	24,038
21	01/06/2017	21:00:00	24,129
22	01/06/2017	22:00:00	23,485
23	01/06/2017	23:00:00	22,211
24	02/06/2017	00:00:00	21,917
25	02/06/2017	01:00:00	21,672
26	02/06/2017	02:00:00	21,637
27	02/06/2017	03:00:00	21,126
28	02/06/2017	04:00:00	20,937
29	02/06/2017	05:00:00	21,763
30	02/06/2017	06:00:00	25,34
31	02/06/2017	07:00:00	28,133
32	02/06/2017	08:00:00	27,972
33	02/06/2017	09:00:00	28,189
34	02/06/2017	10:00:00	28,042
35	02/06/2017	11:00:00	28,28
36	02/06/2017	12:00:00	29,33
37	02/06/2017	13:00:00	29,281
38	02/06/2017	14:00:00	29,358
39	02/06/2017	15:00:00	30,044
40	02/06/2017	16:00:00	26,439
41	02/06/2017	17:00:00	25,718
42	02/06/2017	18:00:00	23,961
43	02/06/2017	19:00:00	23,457
44	02/06/2017	20:00:00	23,233
45	02/06/2017	21:00:00	22,82
46	02/06/2017	22:00:00	22,029
47	02/06/2017	23:00:00	21,651
48	03/06/2017	00:00:00	21,714
49	03/06/2017	01:00:00	21,966
50	03/06/2017	02:00:00	22,316
51	03/06/2017	03:00:00	22,477
52	03/06/2017	04:00:00	22,54
53	03/06/2017	05:00:00	22,666
54	03/06/2017	06:00:00	27,251
55	03/06/2017	07:00:00	28,959
56	03/06/2017	08:00:00	29,19
57	03/06/2017	09:00:00	29,673
58	03/06/2017	10:00:00	29,89
59	03/06/2017	11:00:00	28,987
60	03/06/2017	12:00:00	28,462
61	03/06/2017	13:00:00	27,839
62	03/06/2017	14:00:00	27,566
63	03/06/2017	15:00:00	26,418
64	03/06/2017	16:00:00	25,683
65	03/06/2017	17:00:00	23,688
66	03/06/2017	18:00:00	23,597
67	03/06/2017	19:00:00	23,408
68	03/06/2017	20:00:00	23,037
69	03/06/2017	21:00:00	22,932
70	03/06/2017	22:00:00	22,372
71	03/06/2017	23:00:00	21,686
72	04/06/2017	00:00:00	21,651
73	04/06/2017	01:00:00	21,749
74	04/06/2017	02:00:00	21,462
75	04/06/2017	03:00:00	21,105
76	04/06/2017	04:00:00	20,909
77	04/06/2017	05:00:00	18,893
78	04/06/2017	06:00:00	18,893
79	04/06/2017	07:00:00	18,893
80	04/06/2017	08:00:00	18,893
81	04/06/2017	09:00:00	18,893
82	04/06/2017	10:00:00	18,893
83	04/06/2017	11:00:00	18,893
84	04/06/2017	12:00:00	18,893
85	04/06/2017	13:00:00	18,893
86	04/06/2017	14:00:00	18,893
87	04/06/2017	15:00:00	18,893
88	04/06/2017	16:00:00	18,893
89	04/06/2017	17:00:00	18,893
90	04/06/2017	18:00:00	18,893
91	04/06/2017	19:00:00	18,893
92	04/06/2017	20:00:00	18,893
93	04/06/2017	21:00:00	18,893
94	04/06/2017	22:00:00	18,893
95	04/06/2017	23:00:00	18,893
96	05/06/2017	00:00:00	18,893
97	05/06/2017	01:00:00	18,893
98	05/06/2017	02:00:00	18,893
99	05/06/2017	03:00:00	18,893
100	05/06/2017	04:00:00	18,893
